Date,UNH
7/18/2017 16:00:00,186.85
7/19/2017 16:00:00,189.19
7/20/2017 16:00:00,191.5
7/21/2017 16:00:00,191.78
7/24/2017 16:00:00,190.89
7/25/2017 16:00:00,190.4
7/26/2017 16:00:00,190.75
7/27/2017 16:00:00,188.93
7/28/2017 16:00:00,191.15
7/31/2017 16:00:00,191.81
8/01/2017 16:00,192.23
8/02/2017 16:00,193
8/03/2017 16:00,194.77
8/04/2017 16:00,194.88
8/07/2017 16:00,194.78
8/08/2017 16:00,194.9
8/09/2017 16:00,194.83
8/10/2017 16:00,192.57
8/11/2017 16:00,193.02
8/14/2017 16:00:00,193.71
8/15/2017 16:00:00,194.5
8/16/2017 16:00:00,193.77
8/17/2017 16:00:00,192.7
8/18/2017 16:00:00,190.82
8/21/2017 16:00:00,192.03
8/22/2017 16:00:00,194.79
8/23/2017 16:00:00,194.24
8/24/2017 16:00:00,194.75
8/25/2017 16:00:00,194.36
8/28/2017 16:00:00,195.09
8/29/2017 16:00:00,196.73
8/30/2017 16:00:00,195.88
8/31/2017 16:00:00,198.9
9/01/2017 16:00,199.75
9/05/2017 16:00,199.31
9/06/2017 16:00,198.38
9/07/2017 16:00,198.17
9/08/2017 16:00,197.75
9/11/2017 16:00,199.58
9/12/2017 16:00,197.47
9/13/2017 16:00:00,198.33
9/14/2017 16:00:00,197.73
9/15/2017 16:00:00,198.18
9/18/2017 16:00:00,198.19
9/19/2017 16:00:00,194.65
9/20/2017 16:00:00,195.75
9/21/2017 16:00:00,195.21
9/22/2017 16:00:00,193.03
9/25/2017 16:00:00,191.75
9/26/2017 16:00:00,192.7
9/27/2017 16:00:00,194.49
9/28/2017 16:00:00,196.1
9/29/2017 16:00:00,195.85
10/02/2017 16:00,197.44
10/03/2017 16:00,198.63
10/04/2017 16:00,200.48
10/05/2017 16:00,197.9
10/06/2017 16:00,198.06
10/09/2017 16:00,196.3
10/10/2017 16:00,194.68
10/11/2017 16:00,195.26
10/12/2017 16:00,192.92
10/13/2017 16:00:00,192.52
