Date,AMZN
6/08/2018,1847.75
7/08/2018,1862.48
8/08/2018,1886.52
9/08/2018,1898.52
10/08/2018,1886.3
13/08/2018,1896.2
14/08/2018,1919.65
15/08/2018,1882.62
16/08/2018,1886.52
17/08/2018,1882.22
20/08/2018,1876.71
21/08/2018,1883.42
22/08/2018,1904.9
23/08/2018,1902.9
24/08/2018,1905.39
27/08/2018,1927.68
28/08/2018,1932.82
29/08/2018,1998.1
30/08/2018,2002.38
31/08/2018,2012.71
4/09/2018,2039.51
5/09/2018,1994.82
6/09/2018,1958.31
7/09/2018,1952.07
10/09/2018,1939.01
11/09/2018,1987.15
12/09/2018,1990
13/09/2018,1989.87
14/09/2018,1970.19
17/09/2018,1908.03
18/09/2018,1941.05
19/09/2018,1926.42
20/09/2018,1944.3
21/09/2018,1915.01
24/09/2018,1934.36
25/09/2018,1974.55
26/09/2018,1974.85
27/09/2018,2012.98
28/09/2018,2003
1/10/2018,2004.36
2/10/2018,1971.31
3/10/2018,1952.76
4/10/2018,1909.42
5/10/2018,1889.65
8/10/2018,1864.42
9/10/2018,1870.32
10/10/2018,1755.25
11/10/2018,1719.36
12/10/2018,1788.61
15/10/2018,1760.95
16/10/2018,1819.96
17/10/2018,1831.73
18/10/2018,1770.72
19/10/2018,1764.03
22/10/2018,1789.3
23/10/2018,1768.7
24/10/2018,1664.2
25/10/2018,1782.17
26/10/2018,1642.81
29/10/2018,1538.88
30/10/2018,1530.42
31/10/2018,1598.01
1/11/2018,1665.53
2/11/2018,1665.53
5/11/2018,1627.8
6/11/2018,1642.81
7/11/2018,1755.49
8/11/2018,1754.91
9/11/2018,1712.43
12/11/2018,1636.85
13/11/2018,1631.17
14/11/2018,1599.01
15/11/2018,1619.44
16/11/2018,1593.41
19/11/2018,1512.29
20/11/2018,1495.46
21/11/2018,1516.73
23/11/2018,1502.06
26/11/2018,1581.33
27/11/2018,1581.42
28/11/2018,1677.75
29/11/2018,1673.57
30/11/2018,1690.17
3/12/2018,1772.36
4/12/2018,1668.4
6/12/2018,1699.19
7/12/2018,1629.13
10/12/2018,1641.03
11/12/2018,1643.24
12/12/2018,1663.54
13/12/2018,1658.38
14/12/2018,1591.91
17/12/2018,1520.91
18/12/2018,1551.48
19/12/2018,1495.08
20/12/2018,1460.83
21/12/2018,1377.45
24/12/2018,1343.96
26/12/2018,1470.9
27/12/2018,1461.64
28/12/2018,1478.02
31/12/2018,1501.97
